stadium_location,January,February,March,April,May,June,July,August,September,October,November,December
"Pittsburgh, PA",6.3,6.5,6.1,5.3,4.3,3.8,3.5,3.4,3.8,4.4,5.0,5.6
"San Antonio, TX",9.2,9.6,10.2,10.3,10.0,9.5,9.0,8.4,8.1,8.8,9.2,9.1
"Paradise, NV",7.7,8.0,8.4,9.2,9.1,9.0,8.0,7.3,7.2,7.3,7.4,7.7
"Munich, Germany",7.6,7.6,7.4,6.6,6.1,5.8,5.7,5.4,5.7,5.9,6.5,7.3
"Jacksonville, FL",7.5,7.6,7.5,7.2,6.7,6.1,5.6,5.7,6.7,7.2,7.3,7.2
"Anaheim, CA",7.5,7.2,6.9,6.8,6.3,5.7,5.3,5.1,5.2,5.7,6.7,7.6
"Kansas City, MO",11.2,11.5,12.2,12.1,10.5,9.3,8.5,8.2,9.4,10.4,10.9,10.8
"Arlington, TX",10.3,10.9,11.5,11.5,10.5,9.6,8.9,8.3,8.6,9.6,10.3,10.2
"Atlanta, GA",6.8,7.0,7.0,6.5,5.6,4.8,4.5,4.4,5.1,5.7,6.2,6.5
"San Diego, CA",7.7,7.8,7.7,7.8,7.4,6.6,6.1,5.9,5.9,6.2,7.0,7.9
"Charlotte, NC",6.6,7.0,7.2,7.0,6.0,5.1,4.7,4.7,5.4,5.8,6.1,6.2
"Orchard Park, NY",10.6,10.1,8.7,7.3,6.0,5.5,5.3,5.2,5.9,6.9,8.1,9.3
"St. Louis, MO",9.4,9.5,9.8,9.4,7.9,6.6,5.8,5.8,6.7,7.9,8.7,8.9
"New Orleans, LA",10.7,10.8,10.8,10.6,9.3,8.0,7.3,7.2,8.6,9.4,10.1,10.6
"San Francisco, CA",8.3,8.6,9.0,9.3,9.6,9.4,8.6,8.2,7.6,7.3,7.9,8.6
"Seattle, WA",5.0,4.9,4.7,4.2,3.5,3.2,2.9,2.9,3.3,4.1,5.1,5.1
"Cincinnati, OH",8.0,8.0,8.0,7.5,6.2,5.2,4.7,4.7,5.4,6.2,7.0,7.4
"Cleveland, OH",13.2,12.2,11.4,10.3,8.8,8.0,7.7,7.7,9.0,10.9,12.3,13.0
"Dallas, TX",10.3,10.9,11.5,11.4,10.4,9.4,8.7,8.2,8.6,9.6,10.3,10.3
"Carson, CA",8.2,7.9,7.5,7.4,6.7,5.9,5.3,5.1,5.4,6.1,7.3,8.3
"Miami, FL",12.3,12.4,12.7,11.8,10.5,9.1,8.4,8.4,9.4,11.5,12.7,12.2
"Denver, CO",9.5,9.2,9.1,8.9,7.9,7.5,7.3,7.0,7.3,7.6,8.2,8.9
"Mexico City, Mexico",4.7,5.0,5.3,4.8,4.1,4.2,4.3,4.3,4.6,4.6,4.3,4.3
"Landover, MD",9.9,10.2,10.2,9.5,8.1,7.1,6.5,6.6,7.5,8.4,9.1,9.4
"Boston, MA",8.9,9.0,8.5,7.2,6.0,5.3,5.0,5.0,5.7,6.8,7.6,8.3
"Detroit, MI",13.5,12.9,12.6,12.0,10.4,9.2,8.4,8.3,9.7,11.4,12.6,13.1
"Foxborough, MA",7.0,7.3,7.0,6.2,5.2,4.5,4.3,4.3,4.7,5.4,6.0,6.4
"Frankfurt, Germany",10.1,9.9,9.5,8.6,8.0,7.8,7.8,7.6,8.0,8.4,8.8,9.6
"Philadelphia, PA",8.5,8.9,9.0,8.4,7.1,6.2,5.8,5.7,6.3,7.1,7.7,8.0
"East Rutherford, NJ",8.6,8.8,8.5,7.5,6.4,5.7,5.4,5.4,6.1,6.9,7.6,8.1
"Miami Gardens, FL",11.8,12.0,12.3,11.5,10.2,8.8,8.1,8.1,9.1,11.1,12.1,11.7
"Tampa, FL",9.7,9.9,9.9,9.1,8.1,6.9,6.1,6.4,7.7,9.1,9.6,9.4
"Houston, TX",8.8,9.1,9.3,9.3,8.6,7.5,6.6,6.3,6.8,7.8,8.5,8.8
"Minneapolis, MN",10.9,10.9,11.1,10.9,9.7,8.5,7.7,7.6,8.8,9.6,9.9,10.1
"Green Bay, WI",13.4,13.1,12.8,12.4,11.0,10.0,9.4,9.5,10.9,12.1,12.6,12.9
"Santa Clara, CA",6.7,7.0,7.3,7.7,8.2,8.3,7.8,7.3,6.6,6.2,6.6,7.0
"Memphis, TN",10.1,10.4,10.7,10.4,8.9,7.3,6.4,6.5,7.6,8.5,9.5,9.9
"Los Angeles, CA",8.3,7.8,7.3,7.2,6.5,5.9,5.4,5.2,5.4,6.2,7.4,8.4
"Nashville, TN",8.4,8.6,8.7,8.3,6.9,5.6,5.1,5.1,6.0,6.9,7.6,8.0
"Indianapolis, IN",11.2,11.1,11.3,10.9,9.2,7.8,6.8,6.7,7.8,9.2,10.3,10.6
"Baltimore, MD",10.2,10.5,10.6,9.7,8.3,7.3,6.7,6.7,7.6,8.6,9.4,9.7
"Champaign, IL",12.0,12.0,12.5,12.3,10.5,8.8,7.6,7.4,8.7,10.4,11.6,11.7
"Clemson, SC",4.9,5.1,5.2,5.0,4.3,3.7,3.5,3.4,3.9,4.3,4.5,4.6
"Bloomington, MN",11.2,11.2,11.4,11.3,10.1,8.9,8.0,8.0,9.3,10.0,10.3,10.5
"Oakland, CA",7.6,8.0,8.4,8.8,9.3,9.4,8.8,8.3,7.6,7.0,7.4,7.9
"Pontiac, MI",13.0,12.6,12.5,11.9,10.3,9.1,8.3,8.1,9.4,10.9,12.0,12.5
"Washington, DC",9.3,9.6,9.6,8.9,7.6,6.6,6.1,6.1,7.0,7.9,8.5,8.7
"Toronto, Canada",14.3,13.7,12.6,11.3,9.6,9.0,8.7,8.6,9.8,11.2,12.4,13.5
"Pasadena, CA",8.2,7.7,7.2,7.1,6.5,5.9,5.5,5.3,5.4,6.1,7.3,8.3
"Flushing, NY",11.7,11.7,11.1,9.9,8.6,7.8,7.5,7.5,8.5,9.8,10.8,11.3
"Inglewood, CA",8.5,8.0,7.5,7.3,6.6,5.9,5.4,5.2,5.5,6.3,7.6,8.6
"Chicago, IL",14.2,13.6,13.1,12.4,10.8,9.4,8.7,8.8,10.5,12.3,13.6,13.9
"Palo Alto, CA",7.9,8.3,8.6,9.0,9.4,9.3,8.5,8.0,7.4,7.1,7.6,8.2
"Glendale, AZ",7.0,6.9,7.0,7.5,7.5,7.4,6.6,5.9,6.4,6.8,6.9,6.9
"Tempe, AZ",6.8,6.7,6.8,7.3,7.3,7.2,6.4,5.7,6.3,6.6,6.8,6.8
"Irving, TX",10.3,10.9,11.6,11.5,10.5,9.5,8.9,8.2,8.6,9.6,10.3,10.3
"Baton Rouge, LA",7.4,7.6,7.6,7.3,6.4,5.3,4.7,4.7,5.5,6.3,6.9,7.3
"London, UK",13.1,12.6,12.1,11.0,10.5,9.9,9.8,9.9,10.6,11.5,11.8,12.5
"Buffalo, NY",11.7,11.1,9.6,8.2,6.9,6.4,6.2,6.1,6.9,8.1,9.3,10.6
"New Haven, CT",8.8,8.8,8.3,7.1,6.0,5.4,5.2,5.2,6.0,7.0,7.8,8.3
"Bronx, NY",9.7,9.9,9.5,8.5,7.2,6.5,6.2,6.2,7.0,8.0,8.8,9.2
